brand,product_name,sku,size,ean,qty_available,price_per_unit,currency,supplier_name,offer_date
Hermès Paris,Terre d'Hermès EDT,HER-TDH-50,1.7 oz,3346131400192,120,65.63,EUR,FraganzaItalia SRL,2024-12-15
CHANEL,Coco Mademoiselle EDP,CH-CM-100,100.0ml,3145891165708,10,55.36,EUR,FraganzaItalia SRL,2024-12-15
TomFord,Black Orchid EDP,TF-BO-100,100ml,888066055147,18,163.22,EUR,FraganzaItalia SRL,2024-12-15
Creed,Aventus EDP,CREAV100,100 ml,3508440251008,15,280.66,EUR,FraganzaItalia SRL,2024-12-15
Byredo Parfums,Mojave Ghost EDP,BYRMG100,100ml,7340032811827,150,177.46,EUR,FraganzaItalia SRL,2024-12-15
Le Labo,Santal 33 EDP,LL-S33-100,100ml,842185103011,8,"255,00",EUR,FraganzaItalia SRL,2024-12-15
Hermès ,Eau des Merveilles EDT,HER-EDM-50,50ml,3346131400116,30,62.50,EUR,FraganzaItalia SRL,2024-12-15
Hermès Paris,Terre d'Hermès EDT,HERTDH100,100ml,3346131400208,60,89.79,EUR,FraganzaItalia SRL,2024-12-15
MEMO,Irish Leather EDP,MEM/IL/75,75.0ml,3700458618242,15,190.71,EUR,FraganzaItalia SRL,2024-12-15
Xerjoff Casamorati,Erba Pura EDP,XJ-EP-100,100.0ml,8033488156039,150,286.99,EUR,FraganzaItalia SRL,2024-12-15
Le Labo,Rose 31 EDP,LL/R31/50,1.7 oz,842185103028,8,274.42,EUR,FraganzaItalia SRL,2024-12-15
Dior,Sauvage EDP,DIO-SVG-100,3.4 oz,3348901419260,50,85.00,USD,FraganzaItalia SRL,2024-12-15
Byredo Parfums,Gypsy Water EDP,byr-gw-100,100.0ml,7340032811803,15,293.08,EUR,FraganzaItalia SRL,2024-12-15
LANCOME,La Vie Est Belle EDP,LC/LVEB/50,50ML,3605533286294,40,41.87,EUR,FraganzaItalia SRL,2024-12-15
Chanel Paris,Coco Mademoiselle EDP,CH-CM-50,50ml,3145891165500,12,87.65,EUR,FraganzaItalia SRL,2024-12-15
Xerjoff Casamorati,Casamorati Bouquet Ideale,xj-cbi-100,100 ml,8033488156046,30,153.31,EUR,FraganzaItalia SRL,2024-12-15
AMOUAGE,Reflection Man EDP,AMG-RFL-100,100ml,701666336204,120,245.43,EUR,FraganzaItalia SRL,2024-12-15
Margiela,Replica Jazz Club EDT,MM/RJC/100,100ML,3614270881817,12,160.40,EUR,FraganzaItalia SRL,2024-12-15
TomFord,Tobacco Vanille EDP,TF-TV-50,50ml,888066008860,300,173.72,EUR,FraganzaItalia SRL,2024-12-15
T. Ford,Lost Cherry EDP,TFLC50,50 ml,888066082426,12,87.97,EUR,FraganzaItalia SRL,2024-12-15
Givenchy Beauty,L'Interdit EDP,GIV/LI/80,80ml,3274872422162,40,76.91,EUR,FraganzaItalia SRL,2024-12-15
Xerjoff Casamorati,Erba Pura EDP,XJ-EP-100,100.0ml,8033488156039,150,286.99,EUR,FraganzaItalia SRL,2024-12-15
CHANEL,No 5 EDP,ch-n5-100,100.0ml,3145891255300,200,40.56,EUR,FraganzaItalia SRL,2024-12-15
MEMO,French Leather EDP,MEM-FL-75,75 ml,3700458618235,300,305.47,EUR,FraganzaItalia SRL,2024-12-15
INITIO,Side Effect EDP,int-se-90,90.0ml,3701415900233,5,265.65,EUR,FraganzaItalia SRL,2024-12-15
Creed,Green Irish Tweed EDP,cre-git-100,100ml,3508440251015,30,165.45,EUR,FraganzaItalia SRL,2024-12-15
Memo Paris,Italian Leather EDP,MEM-ITL-75,75ml,3700458618259,0,165.00,EUR,FraganzaItalia SRL,2024-12-15
Y.S.L.,Libre EDP,YSLLB50,50 ml,3614272648425,5,71.37,EUR,FraganzaItalia SRL,2024-12-15
Le Labo,Santal 33 EDP,LL/S33/100,100ml,842185103011,10,284.65,EUR,FraganzaItalia SRL,2024-12-15
DIOR,Miss Dior EDP,DIO_MD_100,100ml,3348901419178,60,56.97,EUR,FraganzaItalia SRL,2024-12-15
BURBERRY,Her EDP,BBR-HER-100,100ml,3614227748255,30,35.18,EUR,FraganzaItalia SRL,2024-12-15
Maison Margiela,Replica Lazy Sunday Morning EDT,MM-RLSM-100,100ml,,45,78.00,EUR,FraganzaItalia SRL,2024-12-15
Diptyque,Philosykos EDT,DIPPHI75,75 ml,3700431423818,80,141.28,EUR,FraganzaItalia SRL,2024-12-15
yves saint laurent,Libre EDP,YSL-LB-30,30ml,3614272648418,80,69.02,EUR,FraganzaItalia SRL,2024-12-15
