Supplier,Offer Ref,Brand,Description,Barcode,Volume,Stock,MOQ,Unit Price USD,Warehouse
GlobalScent Trading Ltd,GS-2025-414,Eisenberg,Eisenberg J'ose Homme EDP 30ml,3259550301076,30ML,500,12,15.31,Hamburg
GlobalScent Trading Ltd,GS-2025-414,Versace,VERSACE BLUE JEANS 75ML EDT MAN,8018365260757,75 ml,12,12,7.43,Rotterdam
GlobalScent Trading Ltd,GS-2025-414,Amouage,Amouage Meander Man EDP 100ml,701666410379,3.4 oz,24,24,69.75,Hamburg
GlobalScent Trading Ltd,GS-2025-414,La Roche-Posay,La Roche Posay Hyalu B5 Serum 30ml,3337875920582,30 ml,300,12,17.68,Dubai
GlobalScent Trading Ltd,GS-2025-414,Initio Parfums Prives,Initio NARCOTIC DELIGHT (Tester) 90ML,3701415902015,90ml,6,12,71.5,Dubai
GlobalScent Trading Ltd,GS-2025-414,Actyva,Act. BAG C. Brillante Sh. REV25-500ml,8020936099383,500ML,72,24,54.9,Hamburg
GlobalScent Trading Ltd,GS-2025-414,Nuxe,"Creme Prodigieuse Boost, Multi-Correction, Cream, For Face, 40 ml",3264680015847,40.0ml,24,24,12.12,Rotterdam
GlobalScent Trading Ltd,GS-2025-414,Giorgio Armani,Armani Luminous Silk Cheek Tint 53 Bold Pink 12 ml ,3614274190854,12ML,500,6,23.55,Dubai
GlobalScent Trading Ltd,GS-2025-414,Bumble and Bumble,BUMBLE AND BUMBLE HAIRDRESSER'S INVISIBILE OIL ,685428013919,,72,6,29.09,Hamburg
GlobalScent Trading Ltd,GS-2025-414,Sheamoisture,Shea Moisture Manuka Honey & Mafura Oil Leave-In Milk Intensive Hydration  8 Oz.,764302231431,100ml,300,6,4.18,Hamburg
GlobalScent Trading Ltd,GS-2025-414,Collistar,CREMA VISO E COLLO RIMPOLPANTE RIDENSIFICANTE 50 ML,8015150244428,1.7 oz,6,24,27.47,Dubai
GlobalScent Trading Ltd,GS-2025-414,Juliette Has A Gun,Juliette Has A Gun Vanilla Vibes EDP 1.7ml,3760022731234,7ML,48,12,0.47,Rotterdam
GlobalScent Trading Ltd,GS-2025-414,Skin1004,SKIN1004 Madagascar Centella Tea-Trica Relief Ampoule 30ml,8809576261882,30ML,144,12,2.78,Dubai
GlobalScent Trading Ltd,GS-2025-414,Parfums De Marly,Parfums De Marly Percival EDP 125ml,3700578502315,125 ml,12,6,143.38,Rotterdam
GlobalScent Trading Ltd,GS-2025-414,Dermalogica,Age Reversal Eye Complex 15ml,666151060883,0.5 oz,6,24,55.39,Dubai
