scan_date,retailer,country,brand,product_name,sku_observed,size,ean,current_price,currency,in_stock
2025-02-10,ICI Paris XL,NL,the merchant of venice,The Merchant Of Venice Nobilhomo Gold Regatta EDP 100ml,THE70,3.4 oz,679602411127,88.32,EUR,Y
2025-02-12,Notino,NL,The,The Merchant Of Venice Nobilhomo Gold Regatta EDP 100ml,THE74,100ml,679602411127,85.88,EUR,Y
2025-02-11,FragranceX,US,THE MERCHANT OF VENICE,The Merchant Of Venice Nobilhomo Gold Regatta EDP 100ml,THE34,3.4 oz,679602411127,87.08,USD,N
2025-02-12,ICI Paris XL,NL,phyto,Phyto - PhytoCyane Men Shampoo - 100ml,PHY78,100ML,3701436917395,2.75,EUR,Y
2025-02-10,Galeries Lafayette,FR,Phyto,Phyto - PhytoCyane Men Shampoo - 100ml,PHY35,3.4 oz,3701436917395,2.93,EUR,N
2025-02-12,Douglas,NL,Xerjoff,Xerjoff Torino21 EDP 50ml,XER37,50 ml,8054320901211,186.81,EUR,Y
2025-02-10,Kruidvat,NL,Ex Nihilo Paris,EX NIHILO OUTCAST BLUE EDP 50 ml,EX 23,50 ml,3760264093121,197.78,EUR,N
2025-02-10,ICI Paris XL,NL,Kilian,ROLLING IN LOVE EDP 50ml/1.7FLOZ,KIL84,1.7 oz,3700550218418,317.82,EUR,Y
2025-02-10,Kruidvat,NL,Dermalogica,UltraCalming Cleanser Refill 500ml,DER11,500ml,666151115361,61.36,EUR,Y
2025-02-10,Sephora,FR,Dermalogica,UltraCalming Cleanser Refill 500ml,DER55,500ML,666151115361,64.31,EUR,Y
2025-02-12,Etos,NL,Mustela,MUSTELA CREAM 150ML STRETCH MARK,MUS98,150ml,3504105033828,20.02,EUR,Y
2025-02-10,Kruidvat,NL,Mustela,MUSTELA CREAM 150ML STRETCH MARK,MUS72,150 ml,3504105033828,18.13,EUR,N
2025-02-10,Selfridges,UK,Mustela,MUSTELA CREAM 150ML STRETCH MARK,MUS28,150ml,3504105033828,17.75,GBP,Y
2025-02-10,Douglas,NL,AlterEgo,Curego Whipped Cream 75 ml,ALT70,75ml,8008277327327,146.45,EUR,Y
2025-02-10,The Perfume Shop,UK,Alter Ego,Curego Whipped Cream 75 ml,ALT30,75.0ml,8008277327327,89.79,GBP,Y
2025-02-10,Douglas,DE,Room,Room 1015 Yesterday EDP 100ml (Tester),ROO74,100ML,3683080186894,62.3,EUR,N
2025-02-11,Etos,NL,skin1004,SKIN1004 Madagascar Centella Watergel Sheet Ampoule Mask 25ml_CPNP,SKI79,25 ml,8809913833079,1.52,EUR,Y
2025-02-10,ICI Paris XL,BE,Skin1004,SKIN1004 Madagascar Centella Watergel Sheet Ampoule Mask 25ml_CPNP,SKI85,25ML,8809913833079,1.51,EUR,Y
2025-02-12,Kruidvat,NL,SKIN1004,SKIN1004 Madagascar Centella Watergel Sheet Ampoule Mask 25ml_CPNP,SKI11,25ml,8809913833079,1.19,EUR,Y
2025-02-12,Douglas,NL,Skin1004,SKIN1004 Madagascar Centella Watergel Sheet Ampoule Mask 25ml_CPNP,SKI64,25.0ml,8809913833079,1.55,EUR,Y
2025-02-11,ICI Paris XL,BE,LA BIOSTHETIQUE,Curl Activating Cond. Spray    200 ml,LA 93,200ML,4040218838947,9.54,EUR,Y
2025-02-10,Sephora,FR,La Biosthetique Paris,Curl Activating Cond. Spray    200 ml,LA 51,200 ml,4040218838947,7.78,EUR,Y
2025-02-11,FragranceX,US,La,Curl Activating Cond. Spray    200 ml,LA 97,200ML,4040218838947,10.78,USD,N
2025-02-11,Etos,NL,la biosthetique,Curl Activating Cond. Spray    200 ml,LA 58,6.8 oz,4040218838947,8.73,EUR,Y
2025-02-10,ICI Paris XL,BE,PAUL MITCHELL,PAUL MITCHELL MVRCK Gravity Feed Hi Hold Pomad FS,PAU56,100ml,009531563190,126.55,EUR,Y
2025-02-12,Etos,NL,Wella Paris,Wella Fusion Intense Repair Mask,WEL25,50ml,4064666322551,1.4,EUR,Y
2025-02-12,The Perfume Shop,UK,Joico,"JOICO LUMISHINE COLOR PERMANENT CREME
36/2.5oz RED RED DARK BROWN 3RR",JOI89,,074469494878,3.35,GBP,Y
2025-02-11,ICI Paris XL,NL,Joico,"JOICO LUMISHINE COLOR PERMANENT CREME
36/2.5oz RED RED DARK BROWN 3RR",JOI56,,074469494878,5.97,EUR,Y
2025-02-10,Sephora,FR,SebastianProfessional,Sebastian Professional Penetraitt Shampoo 250ML,SEB61,8.5 oz,8005610594019,57.91,EUR,Y
2025-02-10,Douglas,DE,Payot,NUTRICIA NOURISHING CONFORTING CREAM 50 ML - JAR,PAY43,1.7 oz,3390150585739,25.79,EUR,Y
2025-02-10,Douglas,NL,Payot Paris,NUTRICIA NOURISHING CONFORTING CREAM 50 ML - JAR,PAY95,50ml,3390150585739,24.15,EUR,Y
2025-02-12,Galeries Lafayette,FR,Payot,NUTRICIA NOURISHING CONFORTING CREAM 50 ML - JAR,PAY75,50ml,3390150585739,17.59,EUR,Y
2025-02-10,De Bijenkorf,NL,Payot Paris,NUTRICIA NOURISHING CONFORTING CREAM 50 ML - JAR,PAY82,50 ml,3390150585739,25.31,EUR,Y
2025-02-12,Notino,NL,Mesoestetic,Mesoestetic blemiderm treatment 50ml,MES94,1.7 oz,8436024758801,31.6,EUR,Y
2025-02-10,Galeries Lafayette,FR,MESOESTETIC,Mesoestetic blemiderm treatment 50ml,MES88,50 ml,8436024758801,31.05,EUR,Y
2025-02-12,Sephora,FR,Mesoestetic,Mesoestetic blemiderm treatment 50ml,MES34,1.7 oz,8436024758801,30.05,EUR,Y
2025-02-10,Kruidvat,NL,mesoestetic,Mesoestetic blemiderm treatment 50ml,MES55,50.0ml,8436024758801,37.19,EUR,Y
2025-02-11,The Perfume Shop,UK,victoria's secret,Victoria's Secret Aqua Kiss Fragrance Lotion 236ml,VIC48,236ML,667554199927,85.5,GBP,Y
2025-02-10,Notino,FR,Victoria'sSecret,Victoria's Secret Aqua Kiss Fragrance Lotion 236ml,VIC85,236ml,667554199927,108.85,EUR,Y
2025-02-10,ICI Paris XL,BE,victoria's secret,Victoria's Secret Aqua Kiss Fragrance Lotion 236ml,VIC84,236ML,667554199927,88.99,EUR,N
2025-02-12,Selfridges,UK,kevin murphy ,KEVIN MURPHY REPAIR-ME RINSE 1000ML,KEV70,1000ML,9339341004486,70.97,GBP,N
2025-02-11,De Bijenkorf,NL,KevinMurphy,KEVIN MURPHY REPAIR-ME RINSE 1000ML,KEV80,1000ML,9339341004486,91.27,EUR,Y
2025-02-12,Harrods,UK,kevin murphy ,KEVIN MURPHY REPAIR-ME RINSE 1000ML,KEV46,1000ML,9339341004486,49.79,GBP,N
2025-02-10,Douglas,NL,Kevin Murphy  Paris,KEVIN MURPHY REPAIR-ME RINSE 1000ML,KEV19,1000ML,9339341004486,83.26,EUR,Y
2025-02-10,The Perfume Shop,UK,la biosthetique,Classic Formula Hair Laque 300 ml,LA 55,300.0ml,4040218869705,11.84,GBP,Y
2025-02-10,ICI Paris XL,BE,LA BIOSTHETIQUE,Classic Formula Hair Laque 300 ml,LA 16,300ML,4040218869705,10.9,EUR,Y
2025-02-10,Kruidvat,NL,La,Classic Formula Hair Laque 300 ml,LA 42,300.0ml,4040218869705,10.33,EUR,Y
2025-02-10,De Bijenkorf,NL,ZO Skin Health Paris,Zo Skin Retinol Skin Brightener 0.25% 50Ml,ZO 91,50ML,810866015496,101.14,EUR,Y
2025-02-12,Selfridges,UK,ZO Skin Health Paris,Zo Skin Retinol Skin Brightener 0.25% 50Ml,ZO 14,50ML,810866015496,74.28,GBP,Y
2025-02-11,Douglas,DE,ZO Skin Health,Zo Skin Retinol Skin Brightener 0.25% 50Ml,ZO 21,50ml,810866015496,108.09,EUR,Y
2025-02-10,Sephora,FR,YVES SAINT LAURENT,YSL LIBRE W 90ML EDP,YVE75,90 ml,3614272648425,108.09,EUR,Y
2025-02-12,Galeries Lafayette,FR,Yves Saint Laurent,YSL LIBRE W 90ML EDP,YVE94,3.0 oz,3614272648425,118.03,EUR,Y
2025-02-12,ICI Paris XL,BE,YVES SAINT LAURENT,YSL LIBRE W 90ML EDP,YVE45,90 ml,3614272648425,95.45,EUR,Y
2025-02-10,Selfridges,UK,Sospiro Perfumes Paris,ERBA PURA MAGICA - EDP 100ml,SOS34,100 ml,3770009763844,115.12,GBP,N
2025-02-11,Notino,NL,Iunik,Beta Glucan Power Moisture Serum Miniature 15ml,IUN62,0.5 oz,8809728080835,95.07,EUR,N
2025-02-10,Douglas,NL,Iunik,Beta Glucan Power Moisture Serum Miniature 15ml,IUN91,15ML,8809728080835,78.17,EUR,Y
2025-02-12,Etos,NL,iunik,Beta Glucan Power Moisture Serum Miniature 15ml,IUN43,15 ml,8809728080835,87.17,EUR,N
2025-02-11,Sephora,FR,IUNIK,Beta Glucan Power Moisture Serum Miniature 15ml,IUN13,15ml,8809728080835,91.09,EUR,Y
2025-02-10,Harrods,UK,Creed,1.7ml Vial Millesime Absolu Aventus,CRE21,7.0ml,3508440251329,4.24,GBP,N
2025-02-11,Kruidvat,NL,Creed,1.7ml Vial Millesime Absolu Aventus,CRE41,7 ml,3508440251329,3.73,EUR,Y
2025-02-12,Galeries Lafayette,FR,pixi,Pixi Glow Tonic Exfoliating Toner 250 ml / 8.5 fl.oz,PIX72,8.5 oz,885190821006,30.26,EUR,N
2025-02-11,Harrods,UK,Pixi,Pixi Glow Tonic Exfoliating Toner 250 ml / 8.5 fl.oz,PIX62,250.0ml,885190821006,17.48,GBP,Y
2025-02-10,FragranceX,US,Biologique Recherche,CREME VERTE ESPOIR AR 100 ml,BIO56,100ML,3700693209397,61.82,USD,Y
2025-02-12,Etos,NL,Filorga,Filorga Global Repair Balm 50ml Tester,FIL88,50ML,3540550011479,40.65,EUR,Y
2025-02-11,Douglas,NL,Filorga,Filorga Global Repair Balm 50ml Tester,FIL33,50ml,3540550011479,27.44,EUR,Y
2025-02-11,ICI Paris XL,BE,filorga,Filorga Global Repair Balm 50ml Tester,FIL24,50 ml,3540550011479,40.6,EUR,Y
2025-02-11,De Bijenkorf,NL,filorga,Filorga Global Repair Balm 50ml Tester,FIL66,50.0ml,3540550011479,25.46,EUR,N
2025-02-12,Selfridges,UK,Payot,LISSE SMOOTHING EYES & LIPS CARE 15ML - TUBE,PAY71,15.0ml,3390150588082,16.21,GBP,Y
2025-02-10,ICI Paris XL,NL,Payot,LISSE SMOOTHING EYES & LIPS CARE 15ML - TUBE,PAY65,15ML,3390150588082,20.34,EUR,Y
2025-02-10,Notino,FR,Payot,LISSE SMOOTHING EYES & LIPS CARE 15ML - TUBE,PAY49,15ml,3390150588082,20.41,EUR,Y
2025-02-10,Notino,NL,Davines Paris,Davines Mi Relaxing Moisturizing Fluid 125 Ml.,DAV44,125ML,8004608237495,20.61,EUR,Y
2025-02-10,The Perfume Shop,UK,Davines,Davines Mi Relaxing Moisturizing Fluid 125 Ml.,DAV75,4.2 oz,8004608237495,14.56,GBP,Y
2025-02-11,Kruidvat,NL,Davines,Davines Mi Relaxing Moisturizing Fluid 125 Ml.,DAV67,125 ml,8004608237495,17.23,EUR,Y
2025-02-11,The Perfume Shop,UK,Calvin Klein,Calvin Klein Free for Men Deodorant 75g,CAL53,50ml,3607342020849,8.49,GBP,N
2025-02-12,FragranceX,US,CalvinKlein,Calvin Klein Free for Men Deodorant 75g,CAL13,50ml,3607342020849,10.2,USD,Y
2025-02-11,Kruidvat,NL,Xerjoff,Xerjoff K Aqua Regia EDP 50ML,XER22,1.7 oz,8054320900795,109.89,EUR,Y
2025-02-10,Kruidvat,NL,MIND GAMES,TESTER MIND GAMES En Prise Extrait De Parm 100ml,MIN48,100ML,850034671673,186.95,EUR,Y
2025-02-12,Etos,NL,Mind Games,TESTER MIND GAMES En Prise Extrait De Parm 100ml,MIN19,100ml,850034671673,221.57,EUR,N
2025-02-11,Galeries Lafayette,FR,MindGames,TESTER MIND GAMES En Prise Extrait De Parm 100ml,MIN47,100.0ml,850034671673,210.51,EUR,Y
2025-02-11,FragranceX,US,borntostandout,FILTHY MUSK 15ml Eau de Parfum,BOR96,15ml,8809840211254,71.44,USD,Y
2025-02-10,Douglas,DE,Borntostandout Paris,FILTHY MUSK 15ml Eau de Parfum,BOR89,15ml,8809840211254,59.61,EUR,Y
2025-02-10,De Bijenkorf,NL,Borntostandout,FILTHY MUSK 15ml Eau de Parfum,BOR65,15.0ml,8809840211254,79.52,EUR,N
2025-02-10,Sephora,FR,borntostandout,FILTHY MUSK 15ml Eau de Parfum,BOR64,15 ml,8809840211254,62.52,EUR,Y
2025-02-11,Douglas,DE,Filorga,Filorga NCEF-Reverse Supreme Multicorrective Cream 50ml,FIL35,50ml,3401360192225,45.35,EUR,N
2025-02-10,ICI Paris XL,BE,Filorga,Filorga NCEF-Reverse Supreme Multicorrective Cream 50ml,FIL53,50ML,3401360192225,42.17,EUR,Y
2025-02-12,Selfridges,UK,Filorga,Filorga NCEF-Reverse Supreme Multicorrective Cream 50ml,FIL49,50.0ml,3401360192225,42.65,GBP,Y
2025-02-11,Douglas,DE,Macadamia,Macadamia Natural Oil Deep Repair Masque 500ml,MAC65,500ML,851325002053,37.65,EUR,Y
2025-02-11,De Bijenkorf,NL,Macadamia,Macadamia Natural Oil Deep Repair Masque 500ml,MAC15,500ml,851325002053,33.71,EUR,Y
2025-02-11,Etos,NL,TheBodyShop,The Body Shop EYE CREAM VITAMIN E 15ML,THE97,0.5 oz,5028197103651,10.27,EUR,Y
2025-02-11,FragranceX,US,The Body Shop Paris,The Body Shop EYE CREAM VITAMIN E 15ML,THE85,15ml,5028197103651,15.72,USD,N
2025-02-12,ICI Paris XL,BE,The Body Shop Paris,The Body Shop EYE CREAM VITAMIN E 15ML,THE64,15ML,5028197103651,14.13,EUR,Y
2025-02-10,Douglas,DE,The Body Shop,The Body Shop EYE CREAM VITAMIN E 15ML,THE21,15ML,5028197103651,8.88,EUR,Y
